validation,gene,n_tbi,n_sham,shapiro_tbi_p,shapiro_sham_p,var_test_p,welch_t_p
GSE128543_WT_only,P2RY6,7,7,0.5332472859002798,0.43753867994937057,0.29072951416140613,4.4595229410218733e-7
GSE205958,P2RY6,5,5,0.2996062738087435,0.7740741884311783,0.005861436515196772,0.005769914759398334
GSE128543_WT_only,HSD11B1,7,7,0.8634221077516003,0.3220879497678527,0.14529605155749103,0.037814792760703084
GSE205958,HSD11B1,5,5,0.99040191924346,0.7278759374843454,0.36837390938998293,0.008077993951697504
GSE128543_WT_only,CCR5,7,7,0.1770294802481759,0.9744187507086833,0.017876035637812926,1.593568118342731e-5
GSE205958,CCR5,5,5,0.43425487046989186,0.13331223614480306,0.0028344232822190563,0.0036031889232066554
