"cluster","GFAP","AQP4","SLC1A2","ALDH1L1","GJA1","P2RY12","CX3CR1","MBP","PLP1","SNAP25","RBFOX3","CD3D","FLT1","CLDN5"
"0",2.54315181178759,1.46127652348926,3.06657697443344,1.25177979035446,1.02434434206186,0.00329360363252699,0,0.178309454657651,0.101721436850501,0.175660865081066,0.0291100955329476,0,0,0
"1",0.589530154653724,0.813950938450841,4.16538973787411,0.662451973636578,1.06750224463005,0.010662529265325,0.00480037245398559,0.079772405316059,0.0577799692206192,0.280705470338242,0.070874210591895,0,0.00631438169804075,0
"2",2.45047592864515,1.94316492216988,3.36200622817907,1.47611797530087,1.37637211699976,0.0133889551500582,0,0.223333277477794,0.0877053479322269,0.149361134613193,0.0354645709499888,0,0.00186278831163277,0
"3",0.656269056032386,0.381462889700197,2.12486608928397,0.442540919576104,0.277557149189173,0.0128903359924083,0,0.160728252908734,0.0292080449439541,0.102933224735041,0.0853665895204046,0,0,0.0115132546275973
"4",1.00515326912321,1.14738187784453,3.61175330744839,1.27312864248036,1.21901709629132,0,0,0.0716148746879876,0.0912306974849227,0.0839856332671181,0.0276264899862361,0,0.0308279451900221,0.0181346803013167
"5",1.02524431199633,1.04523146496756,4.50476108758502,1.10980128094826,1.08506031353645,0.00531603737475203,0,0.0524196484451343,0.0408633261374023,0.315721447650901,0.044737522927127,0,0.00748309277663123,0
"6",1.40747691239076,0.271009748389255,1.34632007798099,0.539283543602699,0.183399985639982,0.0125203146641313,0,0.0396170566966872,0.0318535337860918,0.0823942081097936,0.0492725134742505,0,0,0
"7",2.42940900484805,0.79837909728401,3.48779701282136,1.09285602270621,0.185637065717793,0.0288406686959658,0,0.0629208842603103,0.0611672256599342,0.166642312450641,0.0191162283288379,0,0.011645609453236,0
"8",1.02809449635012,0.812438990758663,2.51744688697255,0.831880448645793,0.71079342191706,0.0217280401782679,0,0.418010089712988,0.465799283209028,0.900728370102577,0.665957668109628,0,0,0
