"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","cohort","significant"
0.0534523688500001,1.46049649377778,0.818340785877659,0.431975022530017,0.752308548718672,-5.07893377965997,"0610007P14Rik","GSE41345",FALSE
0.0165090185500005,0.590228486777778,0.153021332728336,0.8813840332657,0.966492977887079,-5.34527341171778,"0610009B22Rik","GSE41345",FALSE
-0.0558142747499998,0.297720290666667,-0.774468058603468,0.456334482933253,0.76658720767235,-5.10677981481846,"0610009O20Rik","GSE41345",FALSE
0.169257472000008,2.18515779511111,2.34188811437988,0.0408786546064239,0.551749088057453,-3.56968613448127,"0610012G03Rik","GSE41345",FALSE
0.0380059408499968,1.75098818866667,0.3457407673327,0.736604055491199,0.903957909468322,-5.30436791386031,"0610031J06Rik","GSE41345",FALSE
-0.0979727826999923,2.22036411322222,-1.42346673669275,0.184637041209974,0.591109774634124,-4.57875506985717,"0610037L13Rik","GSE41345",FALSE
0.177194633399998,1.837969092,2.0209407400714,0.0704819087319339,0.564515411734788,-3.940203824327,"1110001J03Rik","GSE41345",FALSE
0.13495782265,0.939974138111112,2.01508650742816,0.0711769368129181,0.564515411734788,-3.94685513275012,"1110008F13Rik","GSE41345",FALSE
0.102698175100003,2.47522956977778,1.16325743136817,0.271370827835074,0.651367484422789,-4.81776722193269,"1110008P14Rik","GSE41345",FALSE
-0.201436638,0.195724106333333,-1.78549618670905,0.104076066856795,0.573793150721065,-4.2028742851736,"1110012L19Rik","GSE41345",FALSE
0.126243575100001,1.130809003,0.369016328645854,0.719705054684592,0.897815874070945,-5.29733558531699,"1110017D15Rik","GSE41345",FALSE
0.0596869939999999,1.31025394888889,0.649612339899701,0.530383826307794,0.807740718365021,-5.17864617318974,"1110038F14Rik","GSE41345",FALSE
-0.207438906849999,2.65322361488889,-1.94315522290105,0.0802604023258302,0.572386052113846,-4.02813625853995,"1110057K04Rik","GSE41345",FALSE
-0.0722452329999981,1.70685334655556,-1.2585654850262,0.236395064338561,0.627422127475989,-4.73388246684126,"1110058L19Rik","GSE41345",FALSE
-0.19126328295,1.01713896466667,-2.18735396188465,0.0532165497635367,0.551749088057453,-3.74927868371357,"1110059E24Rik","GSE41345",FALSE
-0.1404268911,-0.238465953,-1.47626733625469,0.170241888845326,0.590052931837169,-4.52668675090916,"1190002N15Rik","GSE41345",FALSE
0.130340641,0.0435463027777778,1.62774020253149,0.134219075691863,0.57817881478681,-4.37173605425419,"1190005I06Rik","GSE41345",FALSE
-0.0810549396999999,0.888252934555556,-1.43433836353719,0.181590749595734,0.590052931837169,-4.56812310156813,"1200014J11Rik","GSE41345",FALSE
0.0815952635500045,1.85208355877778,0.820867977807589,0.430598711841265,0.75221382329227,-5.07728999685228,"1500012F01Rik","GSE41345",FALSE
0.366044616,1.173270611,0.64766371256392,0.531593401027718,0.808451604759585,-5.17967860060115,"1500015O10Rik","GSE41345",FALSE
0.0710353199500001,0.387735204111111,0.858369709881429,0.410521328898396,0.740973672484891,-5.05239676431986,"1600002K03Rik","GSE41345",FALSE
