path,n_perm,universe,key_genes,k_drawn,observed,expected,enrichment_fold,empirical_p,ci95_lo,ci95_hi,observed_percentile,hypergeom_p
union_unstratified,10000,5043,193,7,7,0.2678960935950823,26.129533678756474,9.999000099990002e-5,0,1,1,1.0816661777805241e-10
union_stratified,10000,5043,193,7,7,0.2678960935950823,26.129533678756474,9.999000099990002e-5,0,2,1,1.0816661777805241e-10
black_unstratified,10000,5043,48,3,3,0.028554431885782272,105.0625,9.999000099990002e-5,0,1,1,8.096334077103692e-7
black_stratified,10000,5043,48,3,3,0.028554431885782272,105.0625,9.999000099990002e-5,0,1,1,8.096334077103692e-7
