gsm,cohort,group,genotype,treatment_protocol,include_full,include_clean,exclusion_reason
GSM1015319,GSE41345,other,,"Mice were treated for 7 days with the peptide Ex-4 dissolved in an equal volume of saline and dimethyl sulfoxide (DMSO) mixture and delivered from a subcutaneously implanted ALZET Micro-osmotic pump (Model 1007D, Alzet, Cupertino, CA) at a rate of 3.5 pM/kg/min.",False,False,
GSM1015320,GSE41345,other,,"Mice were treated for 7 days with the peptide Ex-4 dissolved in an equal volume of saline and dimethyl sulfoxide (DMSO) mixture and delivered from a subcutaneously implanted ALZET Micro-osmotic pump (Model 1007D, Alzet, Cupertino, CA) at a rate of 3.5 pM/kg/min.",False,False,
GSM1015321,GSE41345,other,,"Mice were treated for 7 days with the peptide Ex-4 dissolved in an equal volume of saline and dimethyl sulfoxide (DMSO) mixture and delivered from a subcutaneously implanted ALZET Micro-osmotic pump (Model 1007D, Alzet, Cupertino, CA) at a rate of 3.5 pM/kg/min.",False,False,
GSM1015322,GSE41345,other,,"Mice were treated for 7 days with the peptide Ex-4 dissolved in an equal volume of saline and dimethyl sulfoxide (DMSO) mixture and delivered from a subcutaneously implanted ALZET Micro-osmotic pump (Model 1007D, Alzet, Cupertino, CA) at a rate of 3.5 pM/kg/min.",False,False,
GSM1015323,GSE41345,tbi,,"Mice were treated for 7 days with the just vehicle, a saline and dimethyl sulfoxide (DMSO) mixture and delivered from a subcutaneously implanted ALZET Micro-osmotic pump (Model 1007D, Alzet, Cupertino, CA).  mTBI was induced on day 3 of treatment.",True,True,
GSM1015324,GSE41345,tbi,,"Mice were treated for 7 days with the just vehicle, a saline and dimethyl sulfoxide (DMSO) mixture and delivered from a subcutaneously implanted ALZET Micro-osmotic pump (Model 1007D, Alzet, Cupertino, CA).  mTBI was induced on day 3 of treatment.",True,True,
GSM1015325,GSE41345,tbi,,"Mice were treated for 7 days with the just vehicle, a saline and dimethyl sulfoxide (DMSO) mixture and delivered from a subcutaneously implanted ALZET Micro-osmotic pump (Model 1007D, Alzet, Cupertino, CA).  mTBI was induced on day 3 of treatment.",True,True,
GSM1015326,GSE41345,tbi,,"Mice were treated for 7 days with the just vehicle, a saline and dimethyl sulfoxide (DMSO) mixture and delivered from a subcutaneously implanted ALZET Micro-osmotic pump (Model 1007D, Alzet, Cupertino, CA).  mTBI was induced on day 3 of treatment.",True,True,
GSM1015327,GSE41345,tbi,,"Mice were treated for 7 days with the peptide Ex-4 dissolved in an equal volume of saline and dimethyl sulfoxide (DMSO) mixture and delivered from a subcutaneously implanted ALZET Micro-osmotic pump (Model 1007D, Alzet, Cupertino, CA) at a rate of 3.5 pM/kg/min. mTBI was induced on day 3 of treatment.",True,False,Ex-4 treatment (drug-exposed)
GSM1015328,GSE41345,tbi,,"Mice were treated for 7 days with the peptide Ex-4 dissolved in an equal volume of saline and dimethyl sulfoxide (DMSO) mixture and delivered from a subcutaneously implanted ALZET Micro-osmotic pump (Model 1007D, Alzet, Cupertino, CA) at a rate of 3.5 pM/kg/min. mTBI was induced on day 3 of treatment.",True,False,Ex-4 treatment (drug-exposed)
GSM1015329,GSE41345,tbi,,"Mice were treated for 7 days with the peptide Ex-4 dissolved in an equal volume of saline and dimethyl sulfoxide (DMSO) mixture and delivered from a subcutaneously implanted ALZET Micro-osmotic pump (Model 1007D, Alzet, Cupertino, CA) at a rate of 3.5 pM/kg/min. mTBI was induced on day 3 of treatment.",True,False,Ex-4 treatment (drug-exposed)
GSM1015330,GSE41345,tbi,,"Mice were treated for 7 days with the peptide Ex-4 dissolved in an equal volume of saline and dimethyl sulfoxide (DMSO) mixture and delivered from a subcutaneously implanted ALZET Micro-osmotic pump (Model 1007D, Alzet, Cupertino, CA) at a rate of 3.5 pM/kg/min. mTBI was induced on day 3 of treatment.",True,False,Ex-4 treatment (drug-exposed)
GSM1015331,GSE41345,sham,,"Mice were treated for 7 days with the just vehicle, a saline and dimethyl sulfoxide (DMSO) mixture and delivered from a subcutaneously implanted ALZET Micro-osmotic pump (Model 1007D, Alzet, Cupertino, CA).  Mice were placed into the mTBI equipment on day 3 but no weight was dropped.",True,True,
GSM1015332,GSE41345,sham,,"Mice were treated for 7 days with the just vehicle, a saline and dimethyl sulfoxide (DMSO) mixture and delivered from a subcutaneously implanted ALZET Micro-osmotic pump (Model 1007D, Alzet, Cupertino, CA).  Mice were placed into the mTBI equipment on day 3 but no weight was dropped.",True,True,
GSM1015333,GSE41345,sham,,"Mice were treated for 7 days with the just vehicle, a saline and dimethyl sulfoxide (DMSO) mixture and delivered from a subcutaneously implanted ALZET Micro-osmotic pump (Model 1007D, Alzet, Cupertino, CA).  Mice were placed into the mTBI equipment on day 3 but no weight was dropped.",True,True,
GSM1015334,GSE41345,sham,,"Mice were treated for 7 days with the just vehicle, a saline and dimethyl sulfoxide (DMSO) mixture and delivered from a subcutaneously implanted ALZET Micro-osmotic pump (Model 1007D, Alzet, Cupertino, CA).  Mice were placed into the mTBI equipment on day 3 but no weight was dropped.",True,True,
GSM1015335,GSE41345,sham,,"Mice were treated for 7 days with the just vehicle, a saline and dimethyl sulfoxide (DMSO) mixture and delivered from a subcutaneously implanted ALZET Micro-osmotic pump (Model 1007D, Alzet, Cupertino, CA).  Mice were placed into the mTBI equipment on day 3 but no weight was dropped.",True,True,
