gene,log2FC_BaP_vs_Control,welch_p,n_bap,n_control,BH_p,is_evaluable_target
Cyp1a2,-0.15131971075,0.03956278900796347,4,4,0.7688490754151112,False
Ahr,-0.06436794874999996,0.08739433021346092,4,4,0.7692787598743113,False
Nqo1,0.3369071687499998,0.09837945533763574,4,4,0.7692787598743113,False
Nfe2l2,0.2815028980000003,0.28695322753162955,4,4,0.8184718950135834,False
Gstm1,0.12371067425000004,0.33091247005912133,4,4,0.8311289945670954,False
Cyp1a1,-0.0791026855,0.44958918727946184,4,4,0.8632384496143796,False
Cyp1b1,-0.11220091124999998,0.6943937635646449,4,4,0.9320821633943859,False
Maoa,0.041694927500000006,0.7296778546509322,4,4,0.9404599551946166,False
Ahrr,-0.006065553250000008,0.9182068758137925,4,4,0.9839694676238194,False
