path,n_perm,universe,key_genes,k_drawn,observed,expected,enrichment_fold,empirical_p,ci95_lo,ci95_hi,observed_percentile,hypergeom_p
union_unstratified,10000,5043,364,11,11,0.793971842157446,13.854395604395604,9.999000099990002e-5,0,3,1,2.4044443646669326e-13
union_stratified,10000,5043,364,11,11,0.793971842157446,13.854395604395604,9.999000099990002e-5,0,3,1,2.4044443646669326e-13
best_module_unstratified,10000,5043,109,3,3,0.06484235574063058,46.26605504587156,9.999000099990002e-5,0,1,1,9.82710336576484e-6
best_module_stratified,10000,5043,109,3,3,0.06484235574063058,46.26605504587156,9.999000099990002e-5,0,1,1,9.82710336576484e-6
