gene,in_full_universe,in_deg,in_module,in_key,in_candidates
Ahr,True,False,False,False,False
Cyp1a1,True,False,False,False,False
Cyp1a2,True,False,False,False,False
Cyp1b1,True,True,False,False,False
Ahrr,True,False,False,False,False
Nqo1,True,False,False,False,False
Maoa,True,False,False,False,False
