logFC,AveExpr,t,P.Value,adj.P.Val,B,gene
-0.7168412666376577,13.240165974107084,-8.80973342201676,5.435446140381994e-9,1.7684487023191225e-7,10.544631583747108,1110008P14Rik
-0.6613656152196082,10.736962374705456,-7.760447195776537,5.335161157104113e-8,1.2572531642652356e-6,8.233768905353575,1190002N15Rik
-0.667495141349193,9.916061662606559,-9.74565708953726,8.006205170099756e-10,3.4977651842002076e-8,12.48181503152372,1700019D03Rik
-1.2959297351992256,3.6338977784305593,-2.846636683276281,0.008900399428289579,0.030307031949266944,-3.718326898934955,1700029P11Rik
1.0053947777705747,7.294787963629206,8.307630034375649,1.5920347691276907e-8,4.3872302408256524e-7,9.457246174699023,Abi3
-0.6487077666667264,8.125893082016189,-6.195179616667596,2.1007512182140424e-6,2.9202110557756254e-5,4.524558137591445,Abtb1
1.1111352743852592,9.06213627960767,10.739498571336197,1.180861124033958e-10,6.691104099441854e-9,14.415044711528282,Acot1
0.793807746552416,9.43449040862469,10.701248615924866,1.268353398061873e-10,7.028907897171456e-9,14.34291745520737,Adam17
0.679413878765735,8.198980826885595,5.673216910433415,7.613775179772032e-6,8.971090708315504e-5,3.2295269688381456,Afg3l1
1.1251718075890516,7.383239247229029,4.145308676816616,3.639636512926479e-4,0.002338176679578119,-0.6232098791188045,Agtrap
0.8317715557141977,9.259868982692959,7.115295904822679,2.33591132694482e-7,4.548262865553176e-6,6.740799273236879,Ahnak
-0.878135222512969,11.820215568534005,-8.058809150032008,2.745542008801933e-8,7.100394025840076e-7,8.905845178777685,AI593442
1.6705213586124514,9.91166603604415,11.8915931710562,1.4821160005709938e-11,1.1155688046088838e-9,16.506311405116104,Aif1
0.6155231312676482,9.813867940522657,9.260509572304764,2.1305411159719662e-9,7.900234446946048e-8,11.4921056584983,Ak2
0.6990584733928976,9.401702072121187,4.546974824375233,1.3106365917276545e-4,9.969140772371887e-4,0.3869699723038762,Akap12
-0.7023533780701243,9.715631894854631,-9.197780267491416,2.4232877164507103e-9,8.791827305079808e-8,11.361875971973983,Akap7
1.5869061618330884,7.69943595549348,17.138276651395742,5.618082213378711e-15,2.17938373862068e-12,24.357415922147972,Aldh1l2
1.2230153368718222,9.46620320423881,11.061796105892652,6.509670726159085e-11,4.052872774323489e-9,15.015770173037328,Alox5ap
-0.8924338122087541,8.793199763448081,-5.844807949919051,4.971622264538505e-6,6.130046718842954e-5,3.6577282034852594,Amn
1.816433009906886,7.340691371584729,6.998581112780546,3.0688510267139107e-7,5.668943490006685e-6,6.465088376248113,Angptl4
1.6175537142183178,10.489854288967638,17.849760961140394,2.2636960448793958e-15,1.241270514834405e-12,25.25031184257348,Anxa2
1.343892843061852,9.972584115241467,13.855984245198504,5.90403337126306e-13,9.924680097093203e-11,19.73863279853614,Anxa3
0.7559232253770487,11.303650958284013,9.868303637845374,6.280776447356309e-10,2.8794505112743515e-8,12.727161309942346,Anxa5
1.1884505053992864,9.102052676926808,8.752878830072623,6.128526606562362e-9,1.9316349798058746e-7,10.423202995669044,Apaf1
0.6582832745747578,11.932586724178863,8.025247645581826,2.956824809680653e-8,7.529396858216605e-7,8.830837065750554,Apcdd1
0.9576936013452809,13.531399436740811,9.059610534379253,3.2236347890589948e-9,1.1134787836455145e-7,11.073185527029871,Apod
