"","Sham","TBI"
"Astrocyte",1.69573284472282,0.501272322855877
"Endothelial",1.0533633028686,0.961747161591894
"Macrophage",0,1.71683790829627
"Microglia",0.762361875398913,1.17034801617049
"Neuron",1.06579051077788,0.952838867868241
"Oligodendrocyte",0.623279106862391,1.27004781704827
"OPC",1.27929629995159,0.799789824547813
"T_NK",0.275789664751051,1.5191414218864
