celltype,n,pearson_r,rmse
Astrocyte,17,0.841895028271869,0.0468264120165238
Endothelial,17,0.329640793597706,0.052597610449407
Macrophage,0,,
Microglia,17,0.735984443148779,0.0486376499658774
Neuron,17,0.841561153546352,0.142388409153207
Oligodendrocyte,17,0.90786536489603,0.0943786660745279
OPC,17,0.799469484615297,0.0389192377373494
T_NK,17,0.747215467716566,0.0505902020549892
