"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
0.148309696922065,7.81805688743491,1.32109326814921,0.195402240955429,0.383954722661105,-5.84091924029042,"0610007P14Rik"
0.0755445739841666,8.32315606758295,0.790456705454908,0.43480825388928,0.627842169654284,-6.38971920150443,"0610009B22Rik"
-0.140671432518087,6.63945154605233,-2.03562574393919,0.0497404845972694,0.154649361173878,-4.72329404197312,"0610009O20Rik"
0.179510125109453,9.88020865201251,1.94225647894874,0.0605318882364105,0.177788184261047,-4.89155363531372,"0610012G03Rik"
0.275449811301153,7.86495489855009,3.89440608727282,0.000444277133753152,0.0046291107138784,-0.374459849655891,"0610031J06Rik"
-0.0296281587140549,8.33360612949915,-0.50494285715673,0.616896935272478,0.761569460117284,-6.57488661910088,"0610037L13Rik"
0.208516618922656,8.00093560038236,1.65651157179723,0.106934522869238,0.261781941179401,-5.3664382976348,"1110001J03Rik"
0.161589737940817,9.15229480208398,1.76798365154196,0.0861494483294168,0.226986242385188,-5.1885761200263,"1110008F13Rik"
-0.328121123083641,10.3031558207687,-2.9401748915678,0.0058993766005304,0.0338074502232668,-2.8085447875005,"1110008P14Rik"
-0.0176355331481068,6.76445256474782,-0.230129931665798,0.8193869912703,0.896737976774333,-6.67689085622794,"1110012L19Rik"
0.401856520770301,5.49260268461052,2.14019267307781,0.0396909278547839,0.132997574200449,-4.52761925125103,"1110017D15Rik"
0.124446309277906,7.0666645534178,1.4579191834671,0.154152662472812,0.328429183291251,-5.65868767816462,"1110038F14Rik"
-0.0762131951691378,8.64641150169492,-1.0008022954388,0.324079994087294,0.529486587688519,-6.20316090212141,"1110057K04Rik"
-0.032258563667814,8.88067783011266,-0.407201399575608,0.686444253796937,0.812805440689822,-6.61982892982142,"1110058L19Rik"
-0.12406868976069,7.83476625049958,-1.50132152378936,0.142617975420954,0.314758183828391,-5.59757843023523,"1110059E24Rik"
-0.501050419830353,7.74395257648794,-5.71223669624215,2.12394848762102e-06,6.4138157024388e-05,4.78849377636119,"1190002N15Rik"
-0.168034271953887,5.63080415213581,-1.75671195062411,0.0880834276148958,0.229681864251251,-5.20699937572009,"1190005I06Rik"
-0.0356687784819401,6.47591054188254,-0.499190864868198,0.620899782636522,0.764452539999019,-6.57779451744487,"1200014J11Rik"
0.0946442830105104,8.185008247001,0.79744715380962,0.43079439997585,0.624280505482245,-6.3841933728999,"1500012F01Rik"
0.552453093137022,7.52949170079228,2.08134818547466,0.0450996476503393,0.145678893018113,-4.63865901123435,"1500015O10Rik"
