gene_symbol,tier,sources
HRH1,C,ChEMBL
HRH2,C,ChEMBL
HSD11B1,C,PharmMapper
HSD17B1,C,PharmMapper
HTR1C,C,ChEMBL
HTR2,C,ChEMBL
HTR2A,C,ChEMBL
HTR2B,C,ChEMBL;SwissTargetPrediction
HTR2C,C,ChEMBL
HTR6,C,ChEMBL;SwissTargetPrediction
HTT,C,ChEMBL
ICE,C,ChEMBL
IDO1,C,SwissTargetPrediction
IL1BC,C,ChEMBL
IL1BCE,C,ChEMBL
IL8RA,C,ChEMBL
IL8RB,C,ChEMBL
JHDM3A,C,ChEMBL
JMJD2,C,ChEMBL
JMJD2A,C,ChEMBL
KCNA3,C,SwissTargetPrediction
KCNH2,C,ChEMBL
KCNN4,C,SwissTargetPrediction
KDM4A,C,ChEMBL
KIAA0677,C,ChEMBL
KPNB1,C,ChEMBL
LCK,C,ChEMBL;PharmMapper
LRRK2,C,SwissTargetPrediction
LSK,C,ChEMBL
LST1,C,ChEMBL
LST2,C,ChEMBL
M31,C,ChEMBL
MADH3,C,ChEMBL
MAOA,A,ChEMBL;PharmMapper;SwissTargetPrediction
MAOB,C,PharmMapper;SwissTargetPrediction
MAP2K1,B,PharmMapper
MAPK1,C,ChEMBL;PharmMapper
MAPK14,B,ChEMBL;PharmMapper
MAPK3,C,ChEMBL
MAPKAPK2,B,PharmMapper
MBNL1,C,SwissTargetPrediction
MC3R,C,ChEMBL
MC4R,C,ChEMBL
MC5R,C,ChEMBL
MDR1,C,ChEMBL
MET,B,PharmMapper
MGLL,C,SwissTargetPrediction
MIF,C,SwissTargetPrediction
MLN19,C,ChEMBL
MMP1,C,ChEMBL
MMP2,C,PharmMapper;SwissTargetPrediction
MMP8,C,SwissTargetPrediction
MMP9,C,ChEMBL;SwissTargetPrediction
MOP,C,ChEMBL
MOR1,C,ChEMBL
MXI2,C,ChEMBL
NAAA,C,SwissTargetPrediction
NAT1,C,ChEMBL
NET,C,ChEMBL
NET1,C,ChEMBL
NEU,C,ChEMBL
NFE2L2,C,ChEMBL;SwissTargetPrediction
NGL,C,ChEMBL
NK1R,C,ChEMBL
NK2R,C,ChEMBL
NKNAR,C,ChEMBL
NOTUM,C,SwissTargetPrediction
NPY1R,C,ChEMBL
NPY2R,C,ChEMBL
NPYR,C,ChEMBL
NPYY1,C,ChEMBL
NQO1,C,PharmMapper;SwissTargetPrediction
NQO2,C,SwissTargetPrediction
NR3A1,C,ChEMBL
NR3A2,C,ChEMBL
NR3C1,B,ChEMBL;PharmMapper;SwissTargetPrediction
NR3C2,B,PharmMapper
NRF2,C,ChEMBL
NTF97,C,ChEMBL
OATP1B1,C,ChEMBL
OATP1B3,C,ChEMBL
OATP2,C,ChEMBL
OATP8,C,ChEMBL
OATPC,C,ChEMBL
OPRD,C,ChEMBL
OPRD1,C,ChEMBL
OPRK,C,ChEMBL
OPRK1,C,ChEMBL
OPRM1,C,ChEMBL
OPRS1,C,ChEMBL
P2RX7,C,SwissTargetPrediction
P2RY6,C,SwissTargetPrediction
PAFR,C,ChEMBL
PDE10A,C,SwissTargetPrediction
PDE2A,C,SwissTargetPrediction
PDE4B,C,PharmMapper;SwissTargetPrediction
PDE5,C,ChEMBL
PDE5A,C,ChEMBL
PGF,B,PharmMapper
PGR,C,PharmMapper
PGY1,C,ChEMBL
PIM1,C,PharmMapper
PIN1,C,ChEMBL
PKCA,C,ChEMBL
POLI,C,ChEMBL
PPARA,C,PharmMapper;SwissTargetPrediction
PPP3CA,C,ChEMBL
PPP5C,C,PharmMapper
PRKACA,C,ChEMBL;PharmMapper
PRKCA,C,ChEMBL
PRKM1,C,ChEMBL
PRKM2,C,ChEMBL
PRKM3,C,ChEMBL
PSMB5,C,SwissTargetPrediction
PTAC97,C,ChEMBL
PTAFR,C,ChEMBL
PTGD2,B,PharmMapper
PTGS1,C,ChEMBL;SwissTargetPrediction
PTGS2,C,ChEMBL;SwissTargetPrediction
PTPN1,C,PharmMapper;SwissTargetPrediction
PTPN11,C,PharmMapper
PTPN22,C,SwissTargetPrediction
PTPRC,C,ChEMBL
QPCT,C,SwissTargetPrediction
RAD30B,C,ChEMBL
